,MarketName,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,Longitude,Latitude,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,Region,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Yelp Results,Yelp Price,Yelp Rating
10,Burlington New North End Farmers Market,Burlington ,Chittenden,Vermont,05408,05/22/2014 to 09/25/2014,Thu: 3:30 PM-6:30 PM;,,,,,,,-73.23953,44.502415,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,5/5/2014 9:34:45 AM,Northeast,44.9,10309.0,847.0,63918.0,31094.0,,,
11,Caledonia Farmers Market Association - Saturday,St. Johnsbury ,Caledonia,Vermont,05819,05/13/2017 to 10/28/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.016637,44.416902,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,6/20/2017 10:52:41 PM,Northeast,43.2,9754.0,1193.0,45470.0,25866.0,,,
12,Caledonia Farmers Market Association - Winter,St. Johnsbury,Caledonia,Vermont,05819,11/04/2017 to 04/21/2018,Sat: 10:00 AM-1:00 PM;,,,,,,,-72.015393,44.417208,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,6/20/2017 11:01:35 PM,Northeast,43.2,9754.0,1193.0,45470.0,25866.0,,,
13,Capital City Farmers Market - Indoor,Montpelier,Washington,Vermont,05601,12/02/2017 to 04/21/2018,Sat: 10:00 AM-2:00 PM;,,,,,,,-72.574892,44.260358,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,6/28/2017 10:23:47 AM,Northeast,,,,,,,,
14,Capital City Farmers Market - Outdoor,Montpelier,Washington,Vermont,05601,05/06/2017 to 10/28/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.577201,44.260362,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,6/28/2017 10:15:36 AM,Northeast,,,,,,,,
15,Castleton Village Farmers' Market,Castleton,Rutland,Vermont,05735,,,,,,,,,-73.1779,43.6116,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 16 2010  9:44AM,Northeast,34.6,4106.0,640.0,58277.0,26092.0,,,
16,Champlain Islands Farmers Market,South Hero,Grand Isle,Vermont,05486,,Wed: 3:00 PM-6:00 PM;,,,,,,,-73.322947,44.661861,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,6/24/2013 5:23:59 PM,Northeast,47.9,1532.0,82.0,64107.0,36080.0,,,
17,Champlain Islands Farmers Market,Grand Isle,Grand Isle,Vermont,05458,05/23/2015 to 10/03/2015,Sun: 10:00 AM-2:00 PM;,,,,,,,-73.295177,44.719155,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,1/26/2015 12:55:44 PM,Northeast,47.1,2293.0,192.0,60239.0,35043.0,,,
18,Champlain Islands Farmers Market - South Hero,South Hero,Grand Isle,Vermont,05486,05/27/2015 to 09/23/2015,Wed: 3:00 PM-6:00 PM;,,,,,,,-73.32226800000002,44.661874,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,1/26/2015 12:50:17 PM,Northeast,47.9,1532.0,82.0,64107.0,36080.0,,,
19,Chelsea Farmers' Market,Chelsea,Orange,Vermont,05038,05/20/2016 to 09/30/2016,Fri: 3:00 PM-6:00 PM;,,,,,,,-72.44747,43.98878,Y,N,Y,N,Y,-,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,6/28/2016 8:43:37 AM,Northeast,46.8,1351.0,185.0,53583.0,27626.0,,,
20,Chester Farmers Market,Chester,Windsor,Vermont,05143,May to October,sun:11:00 am - 2:00 pm;,,,,,,,-72.5053,43.1976,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/13/2011 3:17:00 PM,Northeast,49.8,4187.0,384.0,46708.0,30926.0,,,
21,Craftsbury Farmers Market,Craftsbury Common,Orleans,Vermont,05827,05/27/2017 to 10/07/2017,Sat: 10:00 AM-1:00 PM;,,,,,,,-72.382604,44.65411,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/27/2017 7:27:03 AM,Northeast,41.4,298.0,59.0,38214.0,19251.0,,,
22,Enosburgh Falls Farmers Market,Enosburg Falls,Franklin,Vermont,05450,05/16/2015 to 10/31/2015,Wed: 3:00 PM-6:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-72.805183,44.906854,Y,Y,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/23/2015 2:52:52 PM,Northeast,39.7,4874.0,620.0,54004.0,24149.0,,,
23,Fair Haven Market (hosted by The Vermont Farmers Market,Fair Haven,Rutland,Vermont,05777,06/07/2018 to 10/25/2018,Thu: 3:00 AM-6:00 PM;,,,,,,,-73.266531,43.59449,Y,Y,N,N,N,-,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/30/2018 11:38:20 AM,Northeast,45.2,3457.0,534.0,49563.0,24221.0,,,
24,Farmers Market on the Westford Common ,Westford,,Vermont,05494,,,,,,,,,-73.0095,44.6115,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013,Northeast,43.5,1702.0,17.0,77243.0,36505.0,,,
25,Five Corners Farmers Market,Essex Junction,Chittenden,Vermont,05452,,Fri: 3:30 PM-7:30 PM;,,Fri: 3:30 PM-6:30 PM;,,,,,-73.1104355,44.4919602,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/28/2016 10:51:16 AM,Northeast,39.5,20010.0,1018.0,76074.0,34633.0,,,
26,Fletcher Allen's Farmers' Market,Burlington,Chittenden,Vermont,05401,,,,,,,,,-73.1955,44.4789,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 19 2010  8:08AM,Northeast,27.5,27908.0,8189.0,36348.0,26259.0,,,
27,Greater Falls Farmers Market,Bellows Falls,Windham,Vermont,05101,06/02/2017 to 09/29/2017,Fri: 4:00 PM-7:00 PM;,,,,,,,-72.444561,43.132631,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,6/29/2017 11:47:21 AM,Northeast,44.1,4553.0,750.0,34270.0,21774.0,,,
28,Greensboro Farmers' Market,Greensboro,Orleans,Vermont,05841,June to September,Thu:3:00 PM - 6:00 PM;,,,,,,,-72.29545,44.57907,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,5/8/2012 11:15:23 AM,Northeast,57.7,384.0,11.0,46607.0,35835.0,,,
29,Groton Growers Farmers' Market,Groton,Caledonia,Vermont,05046,05/23/2015 to 09/26/2015,Sat: 9:00 AM-1:00 PM;,10/17/2015 to 04/16/2016,Sat: 10:00 AM-1:00 PM;,,,,,-72.197395,44.211526,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/23/2015 2:24:10 PM,Northeast,43.5,1182.0,120.0,45685.0,24796.0,,,
30,Hardwick Farmers' Market,Hardwick,Caledonia,Vermont,05843,05/20/2016 to ,Fri: 3:00 PM-6:00 PM;,,,,,,,-72.37151,44.50661,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,6/29/2016 8:34:32 AM,Northeast,39.0,2636.0,435.0,42143.0,22430.0,"{'id': '3b_djzV0Fbr3pOYDdVyfcw', 'alias': 'hardwick-farmers-market-hardwick', 'name': ""Hardwick Farmer's Market"", 'image_url': 'https://s3-media1.fl.yelpcdn.com/bphoto/RArtPyYM0c9tyoqP--J9Uw/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/hardwick-farmers-market-hardwick?adjust_creative=SuN2rTgskES34_QFwQFCJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SuN2rTgskES34_QFwQFCJg', 'review_count': 2, 'categories': [{'alias': 'farmersmarket', 'title': 'Farmers Market'}], 'rating': 4.5, 'coordinates': {'latitude': 44.5059173, 'longitude': -72.3732295}, 'transactions': [], 'price': '$', 'location': {'address1': '150 Granite St', 'address2': '', 'address3': 'Atkins Field', 'city': 'Hardwick', 'zip_code': '05843', 'country': 'US', 'state': 'VT', 'display_address': ['150 Granite St', 'Atkins Field', 'Hardwick, VT 05843']}, 'phone': '+18326039334', 'display_phone': '(832) 603-9334', 'distance': 156.6091400901728}",$,4.5
31,Hartland Farmers' Market,Hartland,Windsor,Vermont,05048,06/06/2014 to 09/12/2014,Fri: 4:00 PM-7:00 PM;,,,,,,,-72.399752,43.539636,Y,N,Y,N,Y,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,8/5/2014 1:44:38 PM,Northeast,46.0,2453.0,139.0,62438.0,32227.0,"{'id': 'fddRh1fNO5zi7GDl2MCMHQ', 'alias': 'hartland-farmers-market-hartland', 'name': 'Hartland Farmers Market', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/9IiZ5hOzz9jNM4ayjA7-8A/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/hartland-farmers-market-hartland?adjust_creative=SuN2rTgskES34_QFwQFCJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SuN2rTgskES34_QFwQFCJg', 'review_count': 1, 'categories': [{'alias': 'farmersmarket', 'title': 'Farmers Market'}], 'rating': 4.0, 'coordinates': {'latitude': 43.5403981419917, 'longitude': -72.4016189575195}, 'transactions': [], 'location': {'address1': '153 Rt 5', 'address2': '', 'address3': '', 'city': 'Hartland', 'zip_code': '05048', 'country': 'US', 'state': 'VT', 'display_address': ['153 Rt 5', 'Hartland, VT 05048']}, 'phone': '', 'display_phone': '', 'distance': 172.70681986613263}",,4.0
32,Hinesburg Lions Farmers' Market,Hinesburg,Chittenden,Vermont,05461,06/05/2014 to 09/25/2014,Thu: 3:00 PM-6:00 PM;,,,,,,,-73.1107,44.3302,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/1/2014 11:30:58 AM,Northeast,43.5,4525.0,282.0,65481.0,32647.0,,,
33,Jay Village Farmers' Market ,Jay,Orleans,Vermont,05859,05/24/2014 to 09/27/2014,Sat: 9:30 AM-2:30 PM;,,,,,,,-72.43969399999997,44.947632,Y,N,N,Y,N,-,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,4/7/2014 6:14:45 PM,Northeast,39.0,2075.0,224.0,41393.0,19322.0,,,
34,Jeffersonville Farmers and Artisan Market,Jeffersonville,Lamoille,Vermont,05646,,Wed: 4:30 PM-8:00 PM;,,,,,,,-72.828807,44.647487,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,6/28/2017 10:56:45 PM,Northeast,,,,,,,,
35,Jericho Farmers Market  @ Mills Riverside Park,Jericho,Chittenden,Vermont,05465,05/26/2016 to 10/06/2016,Thu: 3:00 PM-6:30 PM;,,,,,,,-72.947942,44.516805,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,5/17/2016 3:32:13 AM,Northeast,41.4,5349.0,184.0,92059.0,40467.0,,,
36,Jericho Farmers Market - winter,Jericho,Chittenden,Vermont,05465,10/20/2016 to 12/15/2016,Thu: 4:00 PM-7:00 PM;,,,,,,,-72.972879,44.50997,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,5/17/2016 4:15:21 AM,Northeast,41.4,5349.0,184.0,92059.0,40467.0,,,
37,Johnson Farmers Market,Johnson,Lamoille,Vermont,05656,May to October,Tue:3:00 pm - 6:00 pm;,,,,,,,-72.6783,44.6348,N,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/4/2011 4:15:55 PM,Northeast,28.2,3593.0,575.0,31875.0,15845.0,,,
38,Lamoille Valley Year Round Farmers Artisan Market,Morrisville,Lamoille,Vermont,05661,,,,,,,,,-72.5984,44.5617,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,Northeast,43.7,5716.0,713.0,55847.0,29313.0,,,
39,Ludlow Farmers Market Inc.,Ludlow,Windsor,Vermont,05149,05/27/2016 to 10/07/2016,Fri: 4:00 PM-7:00 PM;,,,,,,,-72.689924,43.3968,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/28/2016 9:07:23 AM,Northeast,50.5,2028.0,297.0,40625.0,26331.0,,,
40,Lyndon Farmers Market,Lyndonville,Caledonia,Vermont,05842,,Fri: 3:00 PM-7:00 PM;,,,,,,,-72.004983,44.536297,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/26/2013 2:35:11 PM,Northeast,38.6,522.0,202.0,44063.0,17567.0,,,
41,Lyndonville Farmers' Market,Lyndonville,Caledonia,Vermont,05851,,,,,,,,,-72.005,44.5363,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/18/2011 3:06:02 PM,Northeast,37.5,6589.0,1221.0,39434.0,18954.0,,,
42,Manchester Farmers Market,Manchester Center ,Bennington,Vermont,05255,05/25/2017 to 10/05/2017,Thu: 3:00 PM-6:00 PM;,,,,,,,-73.052977,43.177675,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,Y,6/25/2017 8:01:15 AM,Northeast,45.7,4051.0,259.0,48311.0,35424.0,,,
43,Mettowee Valley Farmers' Market,North Rupert,Rutland,Vermont,05761,May to October,Fri:3:00 PM - 6:00 PM;,,,,,,,-73.15594200000002,43.30585,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/31/2012 2:38:29 PM,Northeast,44.6,1087.0,169.0,50139.0,24414.0,,,
44,Middlebury Farmers' Market,Middlebury,Addison,Vermont,05753,05/03/2014 to 10/25/2014,Wed: 9:00 AM-12:30 PM;Sat: 9:00 AM-12:30 PM;,,,,,,,-73.17021020000001,44.015955100000006,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/21/2014 2:57:12 PM,Northeast,32.5,10545.0,1315.0,56791.0,30167.0,,,
45,Middlebury Farmers' Market,Middlebury ,Addison,Vermont,05753,11/01/2014 to 12/27/2014,Sat: 9:00 AM-12:30 PM;,03/07/2015 to 04/25/2015,Sat: 9:00 AM-12:30 PM;,,,,,-73.16221,44.010538,N,Y,N,N,Y,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/21/2014 2:58:29 PM,Northeast,32.5,10545.0,1315.0,56791.0,30167.0,,,
46,Middlebury Farmers' Market,Middlebury,Addison,Vermont,05753,05/05/2018 to 10/27/2018,Wed: 9:00 AM-12:30 PM;Sat: 9:00 AM-12:30 PM;,11/03/2018 to 04/27/2019,Sat: 9:00 AM-12:00 PM;,,,,,-73.16990799999998,44.02673400000001,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,N,7/27/2018 6:20:16 AM,Northeast,32.5,10545.0,1315.0,56791.0,30167.0,,,
47,Milton Farmers Market,Milton ,Chittenden,Vermont,05468,,Thu: 3:30 PM-7:00 PM;,,,,,,,-73.121241,44.624033,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,6/28/2017 10:12:49 AM,Northeast,40.0,13156.0,677.0,74372.0,29188.0,"{'id': 'WZjmo4nKApy4ds3sfLSKWA', 'alias': 'milton-farmers-market-milton', 'name': ""Milton Farmer's Market"", 'image_url': 'https://s3-media3.fl.yelpcdn.com/bphoto/IaYrT1RJwIQWMGFhuos3_A/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/milton-farmers-market-milton?adjust_creative=SuN2rTgskES34_QFwQFCJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SuN2rTgskES34_QFwQFCJg', 'review_count': 1, 'categories': [{'alias': 'farmersmarket', 'title': 'Farmers Market'}], 'rating': 4.0, 'coordinates': {'latitude': 44.629102, 'longitude': -73.118925}, 'transactions': [], 'location': {'address1': 'River Rd', 'address2': '', 'address3': '', 'city': 'Milton', 'zip_code': '05468', 'country': 'US', 'state': 'VT', 'display_address': ['River Rd', 'Milton, VT 05468']}, 'phone': '', 'display_phone': '', 'distance': 592.6969614405696}",,4.0
48,MONTGOMERY FARMERS MARKET,Montgomery,Franklin,Vermont,05470,05/27/2017 to 09/02/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.65942199999998,44.904218,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,Y,6/22/2017 11:17:40 AM,Northeast,,,,,,,,
49,Morrisville Farmers Market,"Morrisville, VT",Lamoille,Vermont,05661,,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.661686,44.371731,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,8/25/2016 5:42:00 PM,Northeast,43.7,5716.0,713.0,55847.0,29313.0,,,
