,MarketName,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,Longitude,Latitude,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,Region
11,Caledonia Farmers Market Association - Saturday,St. Johnsbury ,Caledonia,Vermont,05819,05/13/2017 to 10/28/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.016637,44.416902,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,6/20/2017 10:52:41 PM,Northeast
12,Caledonia Farmers Market Association - Winter,St. Johnsbury,Caledonia,Vermont,05819,11/04/2017 to 04/21/2018,Sat: 10:00 AM-1:00 PM;,,,,,,,-72.015393,44.417208,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,6/20/2017 11:01:35 PM,Northeast
13,Capital City Farmers Market - Indoor,Montpelier,Washington,Vermont,05601,12/02/2017 to 04/21/2018,Sat: 10:00 AM-2:00 PM;,,,,,,,-72.574892,44.260358000000004,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,6/28/2017 10:23:47 AM,Northeast
14,Capital City Farmers Market - Outdoor,Montpelier,Washington,Vermont,05601,05/06/2017 to 10/28/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.577201,44.260362,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,6/28/2017 10:15:36 AM,Northeast
15,Castleton Village Farmers' Market,Castleton,Rutland,Vermont,05735,,,,,,,,,-73.1779,43.6116,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 16 2010  9:44AM,Northeast
16,Champlain Islands Farmers Market,South Hero,Grand Isle,Vermont,05486,,Wed: 3:00 PM-6:00 PM;,,,,,,,-73.322947,44.661861,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,6/24/2013 5:23:59 PM,Northeast
17,Champlain Islands Farmers Market,Grand Isle,Grand Isle,Vermont,05458,05/23/2015 to 10/03/2015,Sun: 10:00 AM-2:00 PM;,,,,,,,-73.295177,44.719155,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,1/26/2015 12:55:44 PM,Northeast
18,Champlain Islands Farmers Market - South Hero,South Hero,Grand Isle,Vermont,05486,05/27/2015 to 09/23/2015,Wed: 3:00 PM-6:00 PM;,,,,,,,-73.32226800000001,44.661874,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,1/26/2015 12:50:17 PM,Northeast
19,Chelsea Farmers' Market,Chelsea,Orange,Vermont,05038,05/20/2016 to 09/30/2016,Fri: 3:00 PM-6:00 PM;,,,,,,,-72.44747,43.98878,Y,N,Y,N,Y,-,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,6/28/2016 8:43:37 AM,Northeast
20,Chester Farmers Market,Chester,Windsor,Vermont,05143,May to October,sun:11:00 am - 2:00 pm;,,,,,,,-72.5053,43.1976,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/13/2011 3:17:00 PM,Northeast
21,Craftsbury Farmers Market,Craftsbury Common,Orleans,Vermont,05827,05/27/2017 to 10/07/2017,Sat: 10:00 AM-1:00 PM;,,,,,,,-72.382604,44.654109999999996,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/27/2017 7:27:03 AM,Northeast
22,Enosburgh Falls Farmers Market,Enosburg Falls,Franklin,Vermont,05450,05/16/2015 to 10/31/2015,Wed: 3:00 PM-6:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-72.805183,44.906853999999996,Y,Y,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/23/2015 2:52:52 PM,Northeast
23,Fair Haven Market (hosted by The Vermont Farmers Market,Fair Haven,Rutland,Vermont,05777,06/07/2018 to 10/25/2018,Thu: 3:00 AM-6:00 PM;,,,,,,,-73.266531,43.59449,Y,Y,N,N,N,-,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/30/2018 11:38:20 AM,Northeast
24,Farmers Market on the Westford Common ,Westford,,Vermont,05494,,,,,,,,,-73.0095,44.6115,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013,Northeast
25,Five Corners Farmers Market,Essex Junction,Chittenden,Vermont,05452,,Fri: 3:30 PM-7:30 PM;,,Fri: 3:30 PM-6:30 PM;,,,,,-73.1104355,44.4919602,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/28/2016 10:51:16 AM,Northeast
26,Fletcher Allen's Farmers' Market,Burlington,Chittenden,Vermont,05401,,,,,,,,,-73.1955,44.4789,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 19 2010  8:08AM,Northeast
27,Greater Falls Farmers Market,Bellows Falls,Windham,Vermont,05101,06/02/2017 to 09/29/2017,Fri: 4:00 PM-7:00 PM;,,,,,,,-72.444561,43.132630999999996,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,6/29/2017 11:47:21 AM,Northeast
28,Greensboro Farmers' Market,Greensboro,Orleans,Vermont,05841,June to September,Thu:3:00 PM - 6:00 PM;,,,,,,,-72.29545,44.57907,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,5/8/2012 11:15:23 AM,Northeast
29,Groton Growers Farmers' Market,Groton,Caledonia,Vermont,05046,05/23/2015 to 09/26/2015,Sat: 9:00 AM-1:00 PM;,10/17/2015 to 04/16/2016,Sat: 10:00 AM-1:00 PM;,,,,,-72.197395,44.211526,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/23/2015 2:24:10 PM,Northeast
30,Hardwick Farmers' Market,Hardwick,Caledonia,Vermont,05843,05/20/2016 to ,Fri: 3:00 PM-6:00 PM;,,,,,,,-72.37151,44.506609999999995,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,6/29/2016 8:34:32 AM,Northeast
31,Hartland Farmers' Market,Hartland,Windsor,Vermont,05048,06/06/2014 to 09/12/2014,Fri: 4:00 PM-7:00 PM;,,,,,,,-72.399752,43.539636,Y,N,Y,N,Y,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,8/5/2014 1:44:38 PM,Northeast
32,Hinesburg Lions Farmers' Market,Hinesburg,Chittenden,Vermont,05461,06/05/2014 to 09/25/2014,Thu: 3:00 PM-6:00 PM;,,,,,,,-73.1107,44.3302,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/1/2014 11:30:58 AM,Northeast
33,Jay Village Farmers' Market ,Jay,Orleans,Vermont,05859,05/24/2014 to 09/27/2014,Sat: 9:30 AM-2:30 PM;,,,,,,,-72.43969399999999,44.947632,Y,N,N,Y,N,-,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,4/7/2014 6:14:45 PM,Northeast
34,Jeffersonville Farmers and Artisan Market,Jeffersonville,Lamoille,Vermont,05646,,Wed: 4:30 PM-8:00 PM;,,,,,,,-72.828807,44.647487,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,6/28/2017 10:56:45 PM,Northeast
35,Jericho Farmers Market  @ Mills Riverside Park,Jericho,Chittenden,Vermont,05465,05/26/2016 to 10/06/2016,Thu: 3:00 PM-6:30 PM;,,,,,,,-72.947942,44.516805,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,5/17/2016 3:32:13 AM,Northeast
36,Jericho Farmers Market - winter,Jericho,Chittenden,Vermont,05465,10/20/2016 to 12/15/2016,Thu: 4:00 PM-7:00 PM;,,,,,,,-72.972879,44.50997,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,5/17/2016 4:15:21 AM,Northeast
37,Johnson Farmers Market,Johnson,Lamoille,Vermont,05656,May to October,Tue:3:00 pm - 6:00 pm;,,,,,,,-72.6783,44.6348,N,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/4/2011 4:15:55 PM,Northeast
38,Lamoille Valley Year Round Farmers Artisan Market,Morrisville,Lamoille,Vermont,05661,,,,,,,,,-72.5984,44.5617,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,Northeast
39,Ludlow Farmers Market Inc.,Ludlow,Windsor,Vermont,05149,05/27/2016 to 10/07/2016,Fri: 4:00 PM-7:00 PM;,,,,,,,-72.689924,43.3968,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/28/2016 9:07:23 AM,Northeast
40,Lyndon Farmers Market,Lyndonville,Caledonia,Vermont,05842,,Fri: 3:00 PM-7:00 PM;,,,,,,,-72.004983,44.536297,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/26/2013 2:35:11 PM,Northeast
41,Lyndonville Farmers' Market,Lyndonville,Caledonia,Vermont,05851,,,,,,,,,-72.005,44.5363,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/18/2011 3:06:02 PM,Northeast
42,Manchester Farmers Market,Manchester Center ,Bennington,Vermont,05255,05/25/2017 to 10/05/2017,Thu: 3:00 PM-6:00 PM;,,,,,,,-73.052977,43.177675,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,Y,6/25/2017 8:01:15 AM,Northeast
43,Mettowee Valley Farmers' Market,North Rupert,Rutland,Vermont,05761,May to October,Fri:3:00 PM - 6:00 PM;,,,,,,,-73.15594200000001,43.30585,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/31/2012 2:38:29 PM,Northeast
44,Middlebury Farmers' Market,Middlebury,Addison,Vermont,05753,05/03/2014 to 10/25/2014,Wed: 9:00 AM-12:30 PM;Sat: 9:00 AM-12:30 PM;,,,,,,,-73.17021020000001,44.015955100000006,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/21/2014 2:57:12 PM,Northeast
45,Middlebury Farmers' Market,Middlebury ,Addison,Vermont,05753,11/01/2014 to 12/27/2014,Sat: 9:00 AM-12:30 PM;,03/07/2015 to 04/25/2015,Sat: 9:00 AM-12:30 PM;,,,,,-73.16221,44.010538000000004,N,Y,N,N,Y,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/21/2014 2:58:29 PM,Northeast
46,Middlebury Farmers' Market,Middlebury,Addison,Vermont,05753,05/05/2018 to 10/27/2018,Wed: 9:00 AM-12:30 PM;Sat: 9:00 AM-12:30 PM;,11/03/2018 to 04/27/2019,Sat: 9:00 AM-12:00 PM;,,,,,-73.16990799999999,44.026734000000005,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,N,7/27/2018 6:20:16 AM,Northeast
47,Milton Farmers Market,Milton ,Chittenden,Vermont,05468,,Thu: 3:30 PM-7:00 PM;,,,,,,,-73.121241,44.624033000000004,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,6/28/2017 10:12:49 AM,Northeast
48,MONTGOMERY FARMERS MARKET,Montgomery,Franklin,Vermont,05470,05/27/2017 to 09/02/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.65942199999999,44.904218,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,Y,6/22/2017 11:17:40 AM,Northeast
49,Morrisville Farmers Market,"Morrisville, VT",Lamoille,Vermont,05661,,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.661686,44.371731,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,8/25/2016 5:42:00 PM,Northeast
50,Mt. Tom Farmers' Market,WOODSTOCK,Windsor,Vermont,05091,05/24/2014 to 10/18/2014,Sat: 9:00 AM-12:00 PM;,,,,,,,-72.52455,43.637209000000006,Y,N,Y,N,N,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,4/18/2014 6:02:29 PM,Northeast
51,"Newport, VT Farmers Market",Newport,Orleans,Vermont,05855,05/10/2014 to 10/25/2014,Sat: 9:00 AM-2:00 PM;,,,,,,,-72.2051022,44.9364356,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,5/4/2014 3:24:33 PM,Northeast
52,North Troy Farmers Market,North Troy,Orleans,Vermont,05855,,,,,,,,,-72.3998,44.9945,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,Northeast
53,Northfield Farmers Market,Northfield,Washington,Vermont,05663,05/10/2016 to 10/11/2016,Tue: 3:00 PM-6:00 PM;,,,,,,,-72.65683,44.148617,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,6/27/2016 1:08:43 PM,Northeast
54,"Northwest Farmers Market, Inc.",St. Albans ,Franklin,Vermont,05478,05/20/2017 to 10/28/2017,Sat: 9:00 AM-2:00 PM;,,,,,,,-73.082042,44.811375,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,6/28/2017 10:51:56 AM,Northeast
55,Norwich Farmers Market,Norwich,Windsor,Vermont,05055,05/06/2017 to ,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.317164,43.697842,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,6/29/2017 11:24:03 AM,Northeast
56,Norwich Winter Farmers Market,Norwich,Windsor,Vermont,05055,November to April,Sat:10:00 AM - 1:00 PM;,,,,,,,-72.307907,43.71389,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/7/2012 2:21:52 PM,Northeast
57,Old North End Farmers' Market,Burlingon,Chittenden,Vermont,05401,,Tue: 3:00 PM-6:30 PM;,,,,,,,-73.213842,44.487548,Y,N,N,N,Y,-,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,4/24/2015 12:49:43 PM,Northeast
58,Peacham Farmers Market,Peacham,Caledonia,Vermont,05862,06/01/2017 to 09/07/2017,Thu: 4:00 PM-7:00 PM;,,,,,,,-72.169409,44.327472,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,6/29/2017 9:31:43 AM,Northeast
59,Poultney Farmers Market,Poultney,Rutland,Vermont,05764,June to October,Thu:9:00 AM - 2:00 PM;,,,,,,,-73.23610500000001,43.517755,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/30/2012 9:29:35 PM,Northeast
60,Putney Farmers' Market - Indoor/Winter,Putney,Windham,Vermont,05346,11/22/2015 to 12/20/2015,Sun: 11:00 AM-2:00 PM;,,,,,,,-72.54111800000001,42.991213,Y,N,N,N,Y,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,3/29/2015 3:29:40 PM,Northeast
61,Putney Farmers' Market - Outdoor/Summer,Putney,Windham,Vermont,05346,05/24/2015 to 10/11/2015,Sun: 11:00 AM-2:00 PM;,,,,,,,-72.5227336,42.9677795,Y,Y,N,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,4/25/2015 4:24:03 PM,Northeast
62,Randolph Farmers Market,Randolph,Orange,Vermont,05060,,,,,,,,,-72.656,43.9303,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 17 2010  4:29PM,Northeast
63,Richford Farmers' Market,Richford,Franklin,Vermont,05476,06/21/2014 to 10/04/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.672031,44.996328000000005,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/5/2014 5:15:48 PM,Northeast
64,Richmond Farmers Market,Richmond,Chittenden,Vermont,05477,06/02/2017 to 10/13/2017,Fri: 3:00 PM-7:00 PM;,,,,,,,-72.996849,44.401996999999994,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,6/28/2017 10:21:31 AM,Northeast
65,Rochester Farmers Market and Exchange,Rochester,Windsor,Vermont,05767,,,,,,,,,-72.808149,43.874378,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/21/2017 1:15:50 PM,Northeast
66,Royalton Farmers Market,S Royalton ,Windsor,Vermont,05068,05/12/2016 to 10/20/2016,,,,,,,,-72.521463,43.820029999999996,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,8/25/2016 12:16:23 PM,Northeast
67,Shelburne Farmers Market,Shelburnwe,Chittenden,Vermont,05482,05/27/2017 to 10/14/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-73.210001,44.387378999999996,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,6/28/2017 11:01:10 AM,Northeast
68,South Burlington Farmers Market,South Burlington,Chittenden,Vermont,05407,06/01/2014 to 10/12/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-73.178481,44.455359,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,4/10/2014 1:54:33 PM,Northeast
